URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37.0,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,69,31,0.3799999962,0.07418397620609497,16.047619047619047,0.505192878338279,6.621124770382931,16.047619047619047,681,1348,2.4962908011869436,3,6.685459940652819
38.0,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,62,36,0.2653061197417743,0.10187110176520675,11.057471264367816,0.39604989604989604,4.581408464167085,11.057471264367816,381,962,2.1216216216216215,9,5.750519750519751
39.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,70,37,0.30841121207092326,0.08968985742691545,13.255555555555556,0.5062866722548198,5.504736891124151,13.255555555555556,604,1193,2.4811399832355407,5,6.585917854149204
40.0,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,67,22,0.5056179718469891,0.0894472360910078,10.153061224489797,0.4130653266331658,4.226450620449185,10.153061224489797,411,995,2.265326633165829,20,6.0321608040201005
43.0,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,30,12,0.4285714183673472,0.06988352733796419,11.557692307692308,0.4176372712146423,4.790131831562781,11.557692307692308,251,601,2.232945091514143,9,6.114808652246256
45.0,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,41,13,0.5185185089163239,0.09747292401178173,13.19047619047619,0.4223826714801444,5.4451435447825345,13.19047619047619,234,554,2.2129963898916967,4,6.120938628158845
46.0,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,71,39,0.2909090882644628,0.08070432862750966,14.978021978021978,0.43213499633162145,6.16406278974144,14.978021978021978,589,1363,2.3008070432868672,13,6.070432868672047
47.0,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,49,61,-0.10909090809917356,0.0782918148908955,13.254716981132075,0.37508896797153024,5.451922379641442,13.254716981132075,527,1405,1.997864768683274,2,5.623487544483986
48.0,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,40,20,0.3333333277777779,0.0713436384407329,13.34920634920635,0.5160523186682521,5.546103467149841,13.34920634920635,434,841,2.5755053507728896,11,6.900118906064209
49.0,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,35,28,0.11111110934744271,0.06766917285964644,10.119565217391305,0.40816326530612246,4.211091393078971,10.119565217391305,380,931,2.19656283566058,8,5.900107411385607
50.0,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,62,23,0.4588235240138409,0.09199134189178426,11.0,0.4816017316017316,4.592640692640693,11.0,445,924,2.5183982683982684,34,6.656926406926407
51.0,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,68,21,0.5280898817068552,0.08468125586614532,11.677777777777777,0.44053282588011416,4.8473242414631565,11.677777777777777,463,1051,2.3529971455756424,13,6.288296860133206
52.0,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,30,0,0.9999999666666678,0.0630252099516277,17.62962962962963,0.49789915966386555,7.251011515717399,17.62962962962963,237,476,2.5546218487394956,2,6.75
53.0,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,84,39,0.3658536555621654,0.12920168053655284,68.0,0.4789915966386555,27.39159663865546,68.0,456,952,2.4842436974789917,18,6.605042016806722
54.0,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,22,0,0.9999999545454565,0.037865748643948795,11.173076923076923,0.48709122203098104,4.664067258043162,11.173076923076923,283,581,2.4165232358003443,2,6.592082616179002
55.0,https://insights.blackcoffer.com/evolution-of-advertising-industry/,19,6,0.5199999792000009,0.04222972965839573,12.869565217391305,0.4966216216216216,5.34647473560517,12.869565217391305,294,592,2.4679054054054053,3,6.863175675675675
56.0,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,5,3,0.24999996875000394,0.031999999872,20.833333333333332,0.5,8.533333333333333,20.833333333333332,125,250,2.596,4,6.972
58.0,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,29,69,-0.4081632611411912,0.10123966931690116,15.365079365079366,0.4597107438016529,6.329916043552408,15.365079365079366,445,968,2.34297520661157,4,6.294421487603306
59.0,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,22,15,0.18918918407596802,0.06379310333828775,15.675675675675675,0.42586206896551726,6.440615097856477,15.675675675675675,247,580,2.296551724137931,7,6.220689655172414
60.0,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,59,38,0.21649484312891915,0.08304794513437676,10.156521739130435,0.401541095890411,4.223225134008338,10.156521739130435,469,1168,2.218321917808219,12,6.022260273972603
61.0,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,44,3,0.8723404069714807,0.08834586449559048,10.857142857142858,0.48120300751879697,4.535338345864662,10.857142857142858,256,532,2.404135338345865,6,6.593984962406015
62.0,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,10,1,0.8181817438016598,0.029177718755496768,16.391304347826086,0.4323607427055703,6.729466036212663,16.391304347826086,163,377,2.3925729442970822,2,6.3978779840848805
64.0,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,18,8,0.3846153698224858,0.056034482637856715,17.846153846153847,0.4504310344827586,7.318633952254642,17.846153846153847,209,464,2.4310344827586206,3,6.4655172413793105
65.0,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,20,7,0.48148146364883465,0.07714285692244897,10.606060606060606,0.4828571428571429,4.435567099567099,10.606060606060606,169,350,2.5228571428571427,2,6.731428571428571
66.0,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,10,0,0.99999990000001,0.03937007858515717,15.875,0.5,6.550000000000001,15.875,127,254,2.5866141732283463,3,6.956692913385827
67.0,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,28,36,-0.12499999804687503,0.10474631734084072,10.01639344262295,0.35842880523731585,4.149928899144107,10.01639344262295,219,611,2.0916530278232406,21,5.708674304418985
68.0,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,13,2,0.7333332844444478,0.059760955937207344,15.6875,0.46613545816733065,6.461454183266932,15.6875,117,251,2.462151394422311,3,6.621513944223108
69.0,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,38,10,0.5833333211805558,0.08219178068117845,12.977777777777778,0.5171232876712328,5.397960426179605,12.977777777777778,302,584,2.578767123287671,2,6.839041095890411
